ensembl_gene_id,chromosome_name,start_position,end_position
ENSG00000036448,8,2045046,2165552
ENSG00000037897,12,57768471,57772119
ENSG00000078814,20,34955810,35002437
ENSG00000088827,20,3686970,3707128
ENSG00000100433,14,88180103,88326907
ENSG00000101447,20,38926312,38953106
ENSG00000102383,X,75368427,75523502
ENSG00000105711,19,35030470,35040449
ENSG00000105948,7,139133744,139191986
ENSG00000107130,9,130172404,130237303
ENSG00000110944,12,56334174,56340410
ENSG00000111319,12,6346843,6377730
ENSG00000116983,1,39678648,39691485
ENSG00000118557,16,72112157,72176878
ENSG00000122477,1,100148449,100178273
ENSG00000124507,6,34466061,34535229
ENSG00000125618,2,113215997,113278921
ENSG00000128165,22,50481543,50486440
ENSG00000129354,19,10572671,10587315
ENSG00000133121,13,33103137,33350630
ENSG00000135423,12,56470944,56488414
ENSG00000135547,6,125747664,125761269
ENSG00000142494,17,19495385,19579034
ENSG00000142627,1,16124337,16156069
ENSG00000144152,2,112138385,112188218
ENSG00000147100,X,74421493,74533917
ENSG00000148082,9,89005771,89178818
ENSG00000148935,11,22625509,22813055
ENSG00000150967,12,122920951,122981649
ENSG00000154380,1,225486835,225653142
ENSG00000155542,5,56909260,56925532
ENSG00000158220,3,138434586,138481686
ENSG00000160062,1,32539427,32605941
ENSG00000160201,21,43092956,43107587
ENSG00000163491,3,27110085,27369460
ENSG00000164309,5,79689836,79800240
ENSG00000164850,7,1082208,1093815
ENSG00000166762,15,43628503,43668118
ENSG00000169507,2,164896186,164955525
ENSG00000170293,3,32238679,32370321
ENSG00000172058,5,70900665,70918530
ENSG00000173366,3,52221081,52231190
ENSG00000173421,3,49198428,49258106
ENSG00000175445,8,19901717,19967259
ENSG00000177602,17,3723903,3726699
ENSG00000179761,17,28950513,29057216
ENSG00000180071,9,38571358,38620596
ENSG00000181856,17,7281718,7288257
ENSG00000183087,13,113820549,113864076
ENSG00000183628,22,18906028,18914238
ENSG00000184434,9,26993136,27005672
ENSG00000184916,14,105140982,105168824
ENSG00000184986,14,105526583,105530202
ENSG00000185386,22,50263713,50270767
ENSG00000185482,12,57243453,57251188
ENSG00000187498,13,110148963,110307157
ENSG00000188223,19,35745678,35754519
ENSG00000196826,19,12461559,12551474
ENSG00000196878,1,209614870,209652425
ENSG00000197275,8,94371960,94475115
ENSG00000203546,14,31334312,31457441
ENSG00000203852,1,149852619,149854274
ENSG00000204001,9,136754386,136758543
ENSG00000213297,19,12132117,12156731
ENSG00000213648,16,29459889,29464976
ENSG00000213934,11,5248079,5249859
ENSG00000228570,10,79841358,79850878
ENSG00000235169,1,3772761,3775982
ENSG00000237541,6,32741391,32747198
ENSG00000240403,19,54850443,54867207
ENSG00000240764,5,141489121,141512979
ENSG00000242852,19,12461184,12513854
ENSG00000248712,11,119189638,119196769
ENSG00000250264,6,32813767,32838822
ENSG00000254692,14,24189157,24213473
ENSG00000255152,6,31740020,31764851
ENSG00000255330,6,127438406,127519001
ENSG00000255439,16,31083439,31094956
ENSG00000256436,12,11030387,11031407
ENSG00000258465,1,160216800,160285130
ENSG00000258644,14,70326064,70417074
ENSG00000259753,17,47253897,47344292
ENSG00000260238,1,156212982,156243332
ENSG00000261459,16,30525923,30534852
ENSG00000261611,16,71447600,71489311
ENSG00000262304,17,3585149,3636249
ENSG00000265118,17,31305213,31318831
ENSG00000267228,18,47108188,47176345
ENSG00000271793,6,85557978,85615234
ENSG00000272414,4,76251721,76311129
ENSG00000276289,21,7816675,7829926
ENSG00000281887,7,150716668,150743646
ENSG00000283239,8,1763888,1958627
ENSG00000284057,11,93741664,93812378
ENSG00000284922,11,72080777,72110782
ENSG00000284952,3,155763043,155854442
ENSG00000285901,12,4273762,4405490
