"ENSEMBL","ENTREZID","convert","chromosome","start","end"
"ENSG00000267228",NA,"chr18:49581818-49649975","18","49581818","49649975"
"ENSG00000260238",100527963,"chr1:156243191-156273541","1","156243191","156273541"
"ENSG00000281887",100527949,"chr7:151019581-151046559","7","151019581","151046559"
"ENSG00000259753",NA,"chr17:49176535-49266930","17","49176535","49266930"
"ENSG00000262621",NA,NA,NA,NA,NA
"ENSG00000250264",NA,"chr6:32845990-32871045","6","32845990","32871045"
"ENSG00000256436",259290,"chr12:10877788-10878808","12","10877788","10878808"
"ENSG00000285901",NA,"chr12:4164596-4296324","12","4164596","4296324"
"ENSG00000281028",55300,NA,NA,NA,NA
"ENSG00000271793",NA,"chr6:84848260-84905516","6","84848260","84905516"
"ENSG00000124507",29993,"chr6:34498284-34567452","6","34498284","34567452"
"ENSG00000187498",1282,"chr13:109496616-109654810","13","109496616","109654810"
"ENSG00000261459",NA,"chr16:30514602-30523531","16","30514602","30523531"
"ENSG00000265118",NA,"chr17:32978195-32991813","17","32978195","32991813"
"ENSG00000130489",9997,NA,NA,NA,NA
"ENSG00000235169",388588,"chr1:3856197-3859418","1","3856197","3859418"
"ENSG00000142494",55244,"chr17:19592072-19675721","17","19592072","19675721"
"ENSG00000135547",23493,"chr6:125426518-125440123","6","125426518","125440123"
"ENSG00000172058",8293,"chr5:71604838-71622703","5","71604838","71622703"
"ENSG00000173366",NA,"chr3:52187065-52197174","3","52187065","52197174"
"ENSG00000196826",NA,"chr19:12350745-12440660","19","12350745","12440660"
"ENSG00000272414",100631383,"chr4:75326511-75385919","4","75326511","75385919"
"ENSG00000160201",7307,"chr21:41672796-41687427","21","41672796","41687427"
"ENSG00000175445",4023,"chr8:20044206-20109748","8","20044206","20109748"
"ENSG00000181856",6517,"chr17:7378399-7384938","17","7378399","7384938"
"ENSG00000166762",117155,"chr15:43336305-43375920","15","43336305","43375920"
"ENSG00000163491",152110,"chr3:27068594-27327969","3","27068594","27327969"
"ENSG00000258644",100529257,"chr14:69859347-69950357","14","69859347","69950357"
"ENSG00000160062",653121,"chr1:32073826-32140340","1","32073826","32140340"
"ENSG00000105948",79989,"chr7:139448998-139507240","7","139448998","139507240"
"ENSG00000100433",54207,"chr14:87713759-87860563","14","87713759","87860563"
"ENSG00000255439",NA,"chr16:31072118-31083635","16","31072118","31083635"
"ENSG00000155542",133383,"chr5:57613433-57629705","5","57613433","57629705"
"ENSG00000179761",51268,"chr17:30623495-30730198","17","30623495","30730198"
"ENSG00000262304",NA,"chr17:3681855-3732955","17","3681855","3732955"
"ENSG00000078814",57644,"chr20:36327407-36374034","20","36327407","36374034"
"ENSG00000255330",387104,"chr6:127117261-127197856","6","127117261","127197856"
"ENSG00000110944",51561,"chr12:55940390-55946626","12","55940390","55946626"
"ENSG00000111319",6337,"chr12:6237677-6268564","12","6237677","6268564"
"ENSG00000203546",NA,"chr14:30865106-30988235","14","30865106","30988235"
"ENSG00000183087",2621,"chr13:113166235-113209762","13","113166235","113209762"
"ENSG00000254692",NA,"chr14:23719948-23744264","14","23719948","23744264"
"ENSG00000184916",3714,"chr14:104674645-104702487","14","104674645","104702487"
"ENSG00000177602",83903,"chr17:3820609-3823405","17","3820609","3823405"
"ENSG00000088827",6614,"chr20:3706323-3726481","20","3706323","3726481"
"ENSG00000248712",283152,"chr11:119318928-119326059","11","119318928","119326059"
