"ENSEMBL","ENTREZID","convert","chromosome","start","end"
"ENSG00000196826",NA,"chr19:12350745-12440660","19","12350745","12440660"
"ENSG00000284952",NA,"chr3:156045254-156136653","3","156045254","156136653"
"ENSG00000139329",4060,"chr12:90708852-90717717","12","90708852","90717717"
"ENSG00000173867",55070,"chr15:87916270-88003354","15","87916270","88003354"
"ENSG00000220201",100125288,"chr19:10194127-10199204","19","10194127","10199204"
"ENSG00000179344",3119,"chr6:32691690-32700606","6","32691690","32700606"
"ENSG00000188596",144535,"chr12:96095793-96481777","12","96095793","96481777"
"ENSG00000181625",79008,"chr16:29443180-29446898","16","29443180","29446898"
"ENSG00000280987",9782,"chr5:139894167-139952086","5","139894167","139952086"
"ENSG00000120645",440073,"chr12:66767-178455","12","66767","178455"
"ENSG00000261459",NA,"chr16:30514602-30523531","16","30514602","30523531"
"ENSG00000267645",246721,"chr7:102996602-103031194","7","102996602","103031194"
"ENSG00000178860",9242,"chr8:70929314-70932233","8","70929314","70932233"
"ENSG00000130529",54795,"chr19:48654484-48708579","19","48654484","48708579"
"ENSG00000284713",NA,"chr11:69340710-69344984","11","69340710","69344984"
"ENSG00000264324",NA,"chr2:73984477-74136250","2","73984477","74136250"
"ENSG00000259171",NA,"chr14:20216428-20232417","14","20216428","20232417"
"ENSG00000277957",100533955,"chr17:7659969-7675397","17","7659969","7675397"
"ENSG00000259753",NA,"chr17:49176535-49266930","17","49176535","49266930"
"ENSG00000186792",8372,"chr3:50255399-50261973","3","50255399","50261973"
"ENSG00000244693",100142659,"chr7:144569608-144572195","7","144569608","144572195"
"ENSG00000226174",647310,"chr14:104932201-104983769","14","104932201","104983769"
"ENSG00000066468",2263,"chr10:119718822-119838946","10","119718822","119838946"
"ENSG00000162526",81629,"chr1:31885920-31898711","1","31885920","31898711"
"ENSG00000168772",80319,"chr4:103547151-103573744","4","103547151","103573744"
"ENSG00000183054",727851,"chr2:109756235-109819608","2","109756235","109819608"
"ENSG00000284194",9997,"chr22:50085139-50088032","22","50085139","50088032"
