"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000256436","259290","TAS2R31","protein_coding",-1.41541879557029,0.487109422079117,-3.82163379986247,0.000344049322129315,0.999805648167905
"ENSG00000169738","51181","DCXR","protein_coding",0.440799671012426,2.91675324449481,3.70247708470893,0.000501666099514294,0.999805648167905
"ENSG00000182810","55794","DDX28","protein_coding",0.464406700789551,3.28094555834185,3.51162400454239,0.000906551633561988,0.999805648167905
"ENSG00000267228",NA,NA,"protein_coding",-4.50562351932145,-0.568843636610144,-3.40781504048966,0.00124233481111889,0.999805648167905
"ENSG00000118690","84071","ARMC2","protein_coding",-0.777344720117359,1.83063572508267,-3.33552187919889,0.00154263544318742,0.999805648167905
"ENSG00000178718","54913","RPP25","protein_coding",1.00713779892285,0.730107402903226,3.24160777082762,0.00203607162271965,0.999805648167905
"ENSG00000254692",NA,NA,"protein_coding",3.77582526057945,-3.19722108225595,3.22252015053695,0.00215308992819916,0.999805648167905
"ENSG00000075702","284403","WDR62","protein_coding",0.963789512170671,0.0671993284277152,3.13335769792624,0.0027885906459277,0.999805648167905
"ENSG00000134057","891","CCNB1","protein_coding",1.30516694946176,0.805334180067307,3.12954084797457,0.00281938377696382,0.999805648167905
"ENSG00000019144","23187","PHLDB1","protein_coding",1.84262342633222,-0.925321798661145,3.12042755512885,0.00289420220526717,0.999805648167905
"ENSG00000105971","858","CAV2","protein_coding",1.9523168814743,-1.21765559369037,3.10515700737587,0.00302376000469492,0.999805648167905
"ENSG00000091164","9352","TXNL1","protein_coding",0.357548263910821,4.25368132807896,3.06422519472461,0.00339834855202931,0.999805648167905
"ENSG00000186501","84065","TMEM222","protein_coding",0.367335202519692,4.06030581467423,3.05963541701003,0.00344295877928176,0.999805648167905
"ENSG00000164309","202333","CMYA5","protein_coding",-1.58799224645763,-0.503344199813223,-3.03598762189069,0.00368161275858166,0.999805648167905
"ENSG00000180425","54494","C11orf71","protein_coding",0.618878127944097,2.25577095712917,3.01510285599941,0.00390514901304805,0.999805648167905
