"ensembl_gene_id","chromosome_name","start_position","end_position"
"ENSG00000000971","1",196652043,196747504
"ENSG00000001631","7",92198969,92246166
"ENSG00000002745","7",121325367,121341104
"ENSG00000003987","8",17296794,17413528
"ENSG00000004487","1",23019443,23083689
"ENSG00000004766","7",93232340,93361123
"ENSG00000005302","X",11758159,11775772
"ENSG00000005469","7",87345681,87399795
"ENSG00000005801","11",3339261,3379222
"ENSG00000006530","7",141551278,141655244
"ENSG00000006534","11",68008578,68029282
"ENSG00000006576","7",77798792,77957503
"ENSG00000007402","3",50362799,50504244
"ENSG00000007516","16",1333601,1349441
"ENSG00000008128","1",1702379,1724357
"ENSG00000008283","17",63432304,63446354
"ENSG00000008869","2",36968383,37084372
"ENSG00000010072","1",231337104,231355023
"ENSG00000010610","12",6786858,6820799
"ENSG00000011260","17",51260546,51297936
"ENSG00000011405","11",17077730,17207983
"ENSG00000011566","2",39249266,39437301
"ENSG00000011600","19",35904401,35908295
"ENSG00000012822","12",53708517,53727745
"ENSG00000013288","4",6575189,6623362
"ENSG00000013392","6",83193357,83198935
"ENSG00000013810","4",1712891,1745176
"ENSG00000015153","12",42157104,42238349
"ENSG00000018280","2",218382029,218396894
"ENSG00000018510","2",177392757,177559299
"ENSG00000019144","11",118606440,118658031
"ENSG00000021355","6",2832332,2841959
"ENSG00000023572","1",193090866,193106114
"ENSG00000024526","1",68474152,68497221
"ENSG00000033122","1",69568261,70151945
"ENSG00000033178","4",67612652,67701155
"ENSG00000033327","11",78215293,78418348
"ENSG00000033867","3",27372721,27484420
"ENSG00000035499","5",60596912,60700190
"ENSG00000036549","1",77562416,77683419
"ENSG00000039068","16",68737292,68835541
"ENSG00000039123","5",55307989,55425579
"ENSG00000040341","8",73420369,73747708
"ENSG00000042317","14",88384924,88470350
"ENSG00000046653","X",13770939,13938638
"ENSG00000047188","5",113513694,113595285
"ENSG00000047315","4",56977722,57031158
"ENSG00000048405","7",127346790,127431924
"ENSG00000049089","1",40300489,40317813
"ENSG00000049656","5",1317752,1345099
"ENSG00000050327","7",144355288,144380632
"ENSG00000053770","14",57268924,57298742
"ENSG00000053900","4",25377213,25418498
"ENSG00000054148","9",136848724,136851027
"ENSG00000054219","2",159803355,159904756
"ENSG00000055130","7",148697914,148801110
"ENSG00000056277","X",130202707,130268899
"ENSG00000058729","5",97160867,97183247
"ENSG00000059758","12",96278261,96400480
"ENSG00000060140","12",10618923,10674318
"ENSG00000060971","3",38103129,38137242
"ENSG00000062725","17",60443158,60526242
"ENSG00000063127","19",49289638,49325215
"ENSG00000064270","16",84368527,84464187
"ENSG00000064393","7",139561570,139777998
"ENSG00000065989","19",10416773,10469630
"ENSG00000066027","1",212285410,212361853
"ENSG00000066422","3",101648889,101677132
"ENSG00000066855","8",65644734,65771261
"ENSG00000066923","7",100177563,100221488
"ENSG00000067606","1",2050411,2185395
"ENSG00000068024","2",239048168,239401654
"ENSG00000068120","17",42561467,42566277
"ENSG00000068305","15",99565417,99716466
"ENSG00000068724","2",46916157,47076137
"ENSG00000068885","3",160256986,160399880
"ENSG00000068976","11",64746389,64759974
"ENSG00000070444","17",2384073,2401104
"ENSG00000071575","2",12716889,12742734
"ENSG00000071794","3",149030127,149086554
"ENSG00000071994","6",170575295,170584692
"ENSG00000072310","17",17810399,17837011
"ENSG00000072756","3",3126933,3150879
"ENSG00000072818","17",7336529,7351477
"ENSG00000072954","19",16661139,16690023
"ENSG00000073584","17",40624962,40648654
"ENSG00000073849","3",186930502,187078553
"ENSG00000074696","15",65530418,65578349
"ENSG00000075218","22",46296870,46330810
"ENSG00000075292","2",71276561,71435069
"ENSG00000075407","10",38094334,38150293
"ENSG00000076928","19",41883161,41930150
"ENSG00000077238","16",27313668,27364778
"ENSG00000077254","1",77695987,77759852
"ENSG00000078043","18",46803218,46920160
"ENSG00000078808","1",1216908,1232067
"ENSG00000079134","18",214520,268050
"ENSG00000079277","1",46557408,46616843
"ENSG00000079335","1",100345001,100520277
"ENSG00000079739","1",63593411,63660245
"ENSG00000080298","9",3218297,3526004
"ENSG00000080345","2",151409883,151508013
"ENSG00000081026","1",113390515,113685923
"ENSG00000081177","14",69191511,69244020
"ENSG00000081307","3",132654446,132678097
"ENSG00000081665","19",19785839,19821751
"ENSG00000082014","7",151238764,151277896
"ENSG00000082213","5",31532287,31555053
"ENSG00000082258","2",134918235,134959342
"ENSG00000082269","6",70412941,70561174
"ENSG00000082512","1",211326615,211374946
"ENSG00000083312","5",72816312,72916733
"ENSG00000083544","13",60396457,60573878
"ENSG00000083799","16",50742050,50801935
"ENSG00000084731","2",25926598,25982749
"ENSG00000085491","1",108134043,108200849
"ENSG00000086189","5",62347284,62403939
"ENSG00000087152","17",44191805,44200113
"ENSG00000087157","17",78378649,78425114
"ENSG00000088035","1",63367575,63438553
"ENSG00000088448","13",110878540,110915069
"ENSG00000088451","13",94574054,94596242
"ENSG00000089060","12",113298759,113359493
"ENSG00000089159","12",120210439,120265771
"ENSG00000089818","12",8076939,8097881
"ENSG00000090006","19",40592883,40629818
"ENSG00000090316","4",1289887,1340147
"ENSG00000090376","12",66189195,66254622
"ENSG00000090581","16",1351931,1364113
"ENSG00000090975","12",122983480,123150015
"ENSG00000091009","5",146203605,146289223
"ENSG00000091536","17",18108706,18179802
"ENSG00000092439","15",50552473,50686797
"ENSG00000092978","1",217426992,217631090
"ENSG00000093167","3",37052626,37183689
"ENSG00000095209","9",105694541,105776629
"ENSG00000096060","6",35573585,35728583
"ENSG00000096063","6",35832966,35921342
"ENSG00000097046","1",91500851,91525764
"ENSG00000099194","10",100347233,100364826
