ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_C1_C5_C7,pi_C10_C18_C19,pi_C9_C12_C15,chr,start_pos,end_pos,logFC_C1,logFC_C10,logFC_C11,logFC_C12,logFC_C13,logFC_C14,logFC_C15,logFC_C16,logFC_C17,logFC_C18,logFC_C19,logFC_C2,logFC_C3,logFC_C4,logFC_C5,logFC_C6,logFC_C7,logFC_C8,logFC_C9,AveExpr_C1,AveExpr_C10,AveExpr_C11,AveExpr_C12,AveExpr_C13,AveExpr_C14,AveExpr_C15,AveExpr_C16,AveExpr_C17,AveExpr_C18,AveExpr_C19,AveExpr_C2,AveExpr_C3,AveExpr_C4,AveExpr_C5,AveExpr_C6,AveExpr_C7,AveExpr_C8,AveExpr_C9,P_C1,pi_C1,P_C10,pi_C10,P_C11,pi_C11,P_C12,pi_C12,P_C13,pi_C13,P_C14,pi_C14,P_C15,pi_C15,P_C16,pi_C16,P_C17,pi_C17,P_C18,pi_C18,P_C19,pi_C19,P_C2,pi_C2,P_C3,pi_C3,P_C4,pi_C4,P_C5,pi_C5,P_C6,pi_C6,P_C7,pi_C7,P_C8,pi_C8,P_C9,pi_C9,crit_C1,crit_C10,crit_C12,crit_C15,crit_C18,crit_C19,crit_C5,crit_C7,crit_C9,sig_pi_C1,sig_pi_C5,sig_pi_C7,sig_pi_C9,sig_pi_C10,sig_pi_C12,sig_pi_C15,sig_pi_C18,sig_pi_C19
ENSG00000267228,NA,NA,protein_coding,40.47004848,9.459913968,34.11398438,18,44661027,44702652,-2.685700655,-4.102023357,1.104018889,-4.505623519,1.765440371,0.700418726,2.52034159,-1.279477868,1.416322701,-0.536700952,-1.460705281,5.206042246,-3.044918239,0.532101521,2.834242844,-1.267780513,-0.594129791,-1.671380676,-0.567361787,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,-0.568843637,0.013545318,5.01745492,0.004941309,9.459913968,0.527741174,0.306452482,0.001242335,13.09226666,0.061588236,2.137069513,0.57288639,0.16945335,0.092501423,2.605659148,0.437271042,0.459651506,0.130707877,1.251601876,0.592071925,0.122166839,0.27846327,0.811030433,0.005720773,11.67478551,0.110819757,2.909062528,0.619635902,0.110604446,0.001426075,8.065851936,0.261454791,0.738613231,0.539712059,0.159130463,0.254212995,0.99414099,0.555350329,0.144922904,2.019745421,1.887263287,1.697255037,1.520447729,2.187562511,2.079596054,3.723626296,2.598515782,2.509682926,5.01745492,8.065851936,0,0,9.459913968,13.09226666,2.605659148,0,0
ENSG00000124507,29993,PACSIN1,protein_coding,30.90679983,4.15353653,1.523049317,6,34433916,34503006,1.983458336,1.755818914,-0.339360336,0.942097185,-1.04389565,-1.153082065,-0.111720914,-0.555275079,0.227639422,0.007272233,0.453476614,-2.09517925,0.488620571,-0.491203013,-1.542370896,0.213448018,-0.147515264,-0.60027371,-0.939634046,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.201880456,0.000206473,7.309316231,0.004309395,4.15353653,0.569469663,0.082983582,0.095870717,0.959350777,0.061096776,1.267270223,0.011064121,2.255524305,0.824981691,0.009334918,0.255270993,0.329277307,0.472101104,0.07420248,0.982186924,5.68e-05,0.340204333,0.212345032,0.004559883,4.904911693,0.505410482,0.144805519,0.254658694,0.291794971,0.001813421,4.228411914,0.550392572,0.055352927,0.651718299,0.027429001,0.171950189,0.458967684,0.023938875,1.523049317,1.407078708,1.532673522,0.980816264,1.180753337,0.761684327,1.065331887,1.756309923,0.71636335,1.566568591,7.309316231,4.228411914,0,0,4.15353653,0,0,0,0
ENSG00000036448,9172,MYOM2,protein_coding,24.98425511,5.245491153,2.743240817,8,1993155,2113475,3.516629917,3.712504766,3.342521454,0.296550062,0.30248892,-0.07343325,3.146646605,-1.642694315,-0.195874849,1.877443581,2.241733297,-0.369983312,-1.945183235,-3.875237134,-5.450191794,-1.737687028,-1.890686624,-5.153641732,-1.811120278,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,2.196094826,0.186796481,2.562326659,0.190587903,2.67264951,0.238976912,2.077858592,0.931201331,0.009180126,0.933682017,0.009014474,0.960526956,0.00128438,0.237943712,1.96201524,0.587415176,0.379552468,0.839607502,0.014871541,0.090076731,1.962655834,0.491166677,0.692182468,0.921233638,0.013182584,0.681003534,0.324555056,0.173999203,2.943059466,0.035149019,7.925051885,0.159416018,1.385749873,0.223488866,1.230353181,0.043137754,7.035455213,0.169046194,1.398175081,4.810212064,3.930410042,5.228717696,3.934219047,2.967646696,3.014089571,6.01544525,2.495525918,6.028556535,0,7.925051885,0,0,0,0,0,0,0
ENSG00000116299,57535,KIAA1324,protein_coding,21.93790935,1.008230197,7.578731278,1,109656301,109749401,0.857918382,0.723985715,0.22476767,-0.19390726,-0.242560912,-0.693125305,0.358700336,0.119341087,0.133932667,0.92482285,-0.555809259,-0.499218046,0.361901999,-1.261104148,-2.42848791,-1.704502195,-1.445074194,-2.62239517,-2.3976275,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,3.97482005,0.255052864,0.509062854,0.433158956,0.263062165,0.817075713,0.019720598,0.810444874,0.01769918,0.760053546,0.028902542,0.358323569,0.308943016,0.658343996,0.065121013,0.893962782,0.005809591,0.802633924,0.012788224,0.08124799,1.008230197,0.52949245,0.153481295,0.651353432,0.09294606,0.76240306,0.042637618,0.072665583,1.435983024,0.000440757,8.14952199,0.011065126,3.334080671,0.013714221,2.691925904,0.000445363,8.788396298,0.000690352,7.578731278,1.350641698,1.244366902,1.848637427,1.957255245,1.247562617,1.530836458,1.442199623,1.39834699,1.294796702,0,8.14952199,2.691925904,7.578731278,0,0,0,0,0
ENSG00000101447,81610,FAM83D,protein_coding,19.37964017,5.57132469,4.338730472,20,37554955,37581703,1.858104416,2.234107037,0.786816062,1.752053116,-1.786315083,0.30476214,0.41081344,0.300035368,-0.376002621,0.359945684,-0.334297336,-1.447290976,2.086350452,0.460366559,-1.685894209,0.548212829,0.469833964,0.066158907,0.852974969,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,-0.532420464,0.002851412,4.728764317,0.003208049,5.57132469,0.207882348,0.536752058,0.004689542,4.080303127,0.00401261,4.281034572,0.50926746,0.089311786,0.373770426,0.175579637,0.554141419,0.076922884,0.367547106,0.163443449,0.385614603,0.148962271,0.510364124,0.097654892,0.059045365,1.778451689,0.009805072,4.190537556,0.323789817,0.225458452,0.003707631,4.098246154,0.243068011,0.336751896,0.241641157,0.289807258,0.879675628,0.003683559,0.056673545,1.06333533,1.473508783,1.048447465,0.801607333,1.055814951,0.674599093,0.672152841,1.509390223,0.616706785,1.518565515,4.728764317,4.098246154,0,0,5.57132469,4.080303127,0,0,0
ENSG00000155542,133383,SETD9,protein_coding,14.56936607,3.136510286,1,5,56205087,56221359,2.068919193,2.055795795,-0.038845887,1.222837471,-1.327276719,-0.871804211,-0.025722489,1.083362439,0.013123399,0.717011343,-1.187801687,-2.094641682,2.410639158,0.184681409,-1.859606652,0.196189142,-0.613336871,-0.636769182,-0.675615069,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,-0.94887227,0.010381106,4.104231626,0.029806326,3.136510286,0.96643349,0.000576008,0.162021883,0.966562929,0.122121943,1.212077453,0.20682111,0.596667278,0.973688276,0.000297868,0.246344828,0.659178973,0.978800758,0.000122122,0.192723285,0.512710298,0.196414405,0.839569905,0.062162828,2.527120755,0.05953253,2.953625168,0.793705046,0.018531091,0.012333323,3.549840115,0.735119096,0.026219167,0.331283098,0.294279473,0.350487052,0.289938852,0.282349353,0.371056717,1.993918083,1.950387058,1.114895805,1.744872561,1.208020996,0.986597375,3.718627842,0.961474111,2.229139407,4.104231626,0,0,0,3.136510286,0,0,0,0
ENSG00000100433,54207,KCNK10,protein_coding,14.50754663,4.189173501,2.962928258,14,88649113,88793251,1.893047087,2.187123469,0.504808389,1.698229224,-1.845973956,0.015914144,0.210732008,-0.466673758,-0.294076381,0.104103104,0.318929026,-1.682315079,1.379300198,0.186397842,-1.763679218,0.423444251,0.582451875,-0.065449994,0.439358395,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,-1.38994488,0.009223622,3.852537308,0.012151211,4.189173501,0.494083835,0.154572003,0.018000463,2.962928258,0.010684028,3.638903846,0.977851128,0.000154801,0.710355018,0.031298876,0.417095004,0.177226365,0.532372461,0.080513531,0.818399299,0.009060588,0.580186671,0.075405108,0.067008618,1.974818091,0.131900765,1.213443052,0.730734769,0.025394885,0.007325787,3.765712173,0.450158711,0.146780319,0.174444069,0.441698764,0.900715073,0.002972252,0.397103061,0.176225231,2.748286387,1.529039028,1.393227311,1.436846373,1.048601935,0.959947079,1.743887337,1.243406258,1.972715001,3.852537308,3.765712173,0,0,4.189173501,2.962928258,0,0,0
ENSG00000135547,23493,HEY2,protein_coding,13.26970566,11.01777119,1.363565593,6,126068810,126082415,-1.54260011,-2.355000726,-2.205103137,-1.022465175,0.887117755,-0.872567586,-1.392702521,1.753072458,0.812400616,-0.492041572,-1.888419879,0.149897589,0.865954704,0.672808403,2.051967731,-0.303032995,-0.44774433,1.029502556,-1.175600581,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,-1.874928524,0.034526934,2.255037613,0.018397347,4.086502767,0.044405861,2.982533643,0.119751388,0.942426033,0.149917961,0.731114844,0.334566096,0.414921655,0.105462557,1.360533464,0.059911179,2.143117295,0.222010032,0.531007302,0.466047706,0.16314604,0.03734899,2.69613697,0.892619691,0.007394978,0.432892896,0.314878052,0.319971067,0.332965673,0.001356059,5.884471987,0.689616802,0.048907151,0.494083116,0.137099308,0.163239919,0.810397263,0.140434954,1.002228632,1.362934102,1.751618311,1.249900415,2.501352237,1.242539005,1.727203028,2.93526488,1.959635111,2.818161436,2.255037613,5.884471987,0,0,4.086502767,0,0,0,2.69613697
ENSG00000111057,3875,KRT18,protein_coding,12.80055893,2.107192664,3.661034222,12,53342655,53346685,1.355718407,1.424558373,0.05047542,1.57547088,-1.311073358,0.201387927,-0.018364545,0.153289216,-0.068839965,0.736328035,0.111108306,-1.374082953,1.464362574,0.300058783,-1.74734261,-0.322784238,0.315103841,-0.17187173,-0.12139631,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,-0.237716681,0.018609297,2.345758937,0.03317492,2.107192664,0.927283152,0.001654969,0.004744916,3.661034222,0.024523476,2.111376105,0.666923306,0.035428991,0.96659134,0.000271007,0.746415581,0.01947069,0.838205766,0.005276539,0.05284498,0.940288147,0.827510282,0.009136058,0.057834659,1.700856121,0.052090084,1.879135866,0.525246818,0.083907409,0.000753412,5.456894453,0.456768708,0.109844656,0.415089147,0.120325118,0.66141619,0.030855303,0.755725576,0.014766147,1.421298999,1.170763013,1.2376377,1.241522445,0.888657631,0.541027875,0.912967672,0.548394542,1.386104066,2.345758937,5.456894453,0,0,2.107192664,3.661034222,0,0.940288147,0
ENSG00000120645,440073,IQSEC3,protein_coding,12.41365654,1,1,12,175931,287626,-0.591999857,-1.068677727,-1.406217151,-0.075994854,0.290262273,-0.413534277,-0.929539281,0.060066271,0.476677869,0.288009323,0.154201148,-0.337539424,-0.230196002,1.743134833,1.745387783,0.676710056,1.828062511,1.669392929,0.263175779,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,-1.800222135,0.418059296,0.224227118,0.302633897,0.554731831,0.17697682,1.057592876,0.906005699,0.003257829,0.675241226,0.049501633,0.608572375,0.089194284,0.206504634,0.636799661,0.930225886,0.001886776,0.514663986,0.13751023,0.712951499,0.042320094,0.833152855,0.012224344,0.743691254,0.043410043,0.813319932,0.020657463,0.032091498,2.603563643,0.012246199,3.337179162,0.386562413,0.279332631,0.009229224,3.719805241,0.02149088,2.784123037,0.726364899,0.036540681,1.648846159,1.261624468,4.095294154,2.128199364,1.275192354,1.219705411,1.704840903,1.568638809,1.747453823,0,3.337179162,3.719805241,0,0,0,0,0,0
