ENSEMBL,SYMBOL,pi_C1_C5_C7,pi_C10_C18_C19,pi_C9_C12_C15,chr,start_pos,end_pos,variant_loc,cms_score,related_genes
ENSG00000160201,U2AF1,7.73642943393383,3.26345097650964,1,chr21,44513066,44527697,chr21:44524006,16.3117,CBS & CBSL & CRYAA & CRYAA2 & FRGCA & LOC106780825 & PKNOX1 & U2AF1 & U2AF1L5
ENSG00000115155,OTOF,4.63803242096217,6.97543795768765,1,chr2,26680071,26781566,chr2:26739247,13.6058,C2orf70 & CIB4 & DRC1 & OTOF
ENSG00000156564,LRFN2,4.37927362041959,1,1,chr6,40359325,40555204,chr6:40408549,6.63678,LINC00951 & LRFN2 & TDRG1
ENSG00000180509,KCNE1,3.37183844396494,1,1,chr21,35818988,35884573,chr21:35849290,12.0268,FAM243A & FAM243B & KCNE1 & KCNE1B & RCAN1 & SMIM11A & SMIM11B
ENSG00000198963,RORB,3.07509536000829,1.93251665056318,1,chr9,77112281,77308093,chr9:77212629,6.272,RORB & RORB-AS1
ENSG00000107249,GLIS3,3.04142172497782,1,1,chr9,3824127,4348392,chr9:4246688,9.77535,GLIS3
ENSG00000107249,GLIS3,3.04142172497782,1,1,chr9,3824127,4348392,chr9:4135650,9.42419,GLIS3
ENSG00000107249,GLIS3,3.04142172497782,1,1,chr9,3824127,4348392,chr9:3971094,6.20639,GLIS3 & GLIS3-AS1
ENSG00000184916,JAG2,2.9991489914146,3.91047378402164,1,chr14,105607318,105635161,chr14:105618729,7.55912,BRF1 & BTBD6 & GPR132 & JAG2 & LINC02298 & MIR6765 & NUDT14
ENSG00000066468,FGFR2,2.99274174030384,2.66580673325118,1,chr10,123237848,123357972,chr10:123274062,9.99623,FGFR2
ENSG00000171189,GRIK1,2.75022051378544,1.35371777050783,1,chr21,30909254,31312351,chr21:31138315,7.98318,GRIK1 & GRIK1-AS1
ENSG00000171189,GRIK1,2.75022051378544,1.35371777050783,1,chr21,30909254,31312351,chr21:31249235,6.22622,GRIK1
ENSG00000184226,PCDH9,2.5635017197349,1.05513506115125,1,chr13,66876967,67804468,chr13:66930599,9.19406,PCDH9
ENSG00000184226,PCDH9,2.5635017197349,1.05513506115125,1,chr13,66876967,67804468,chr13:67252038,9.12345,PCDH9
ENSG00000184226,PCDH9,2.5635017197349,1.05513506115125,1,chr13,66876967,67804468,chr13:67194888,7.3563,PCDH9
ENSG00000184226,PCDH9,2.5635017197349,1.05513506115125,1,chr13,66876967,67804468,chr13:67649599,6.15649,PCDH9 & PCDH9-AS3 & PCDH9-AS4
ENSG00000188596,CFAP54,2.51293579269069,4.04525047156894,1,chr12,96883349,97269333,chr12:97037123,11.0237,CFAP54
ENSG00000188596,CFAP54,2.51293579269069,4.04525047156894,1,chr12,96883349,97269333,chr12:96997680,8.92862,CFAP54
ENSG00000112902,SEMA5A,2.45138556084018,1.25571231935268,1.38563142510229,chr5,9035138,9546187,chr5:9210525,7.23316,SEMA5A
ENSG00000127124,HIVEP3,2.00513823450664,1,1,chr1,41972036,42501596,chr1:42019006,12.2396,EDN2 & HIVEP3
ENSG00000183117,CSMD1,1.99221822558136,2.25689561017965,1,chr8,2792875,4852494,chr8:4493300,12.2465,CSMD1
ENSG00000183117,CSMD1,1.99221822558136,2.25689561017965,1,chr8,2792875,4852494,chr8:3455844,10.3666,CSMD1
ENSG00000183117,CSMD1,1.99221822558136,2.25689561017965,1,chr8,2792875,4852494,chr8:4710803,6.50384,CSMD1
ENSG00000033122,LRRC7,1.96065769009133,2.29723554534023,1,chr1,70034081,70617628,chr1:70307421,6.77469,LRRC7 & PIN1P1
ENSG00000033122,LRRC7,1.96065769009133,2.29723554534023,1,chr1,70034081,70617628,chr1:70404321,6.66246,LRRC7 & PIN1P1
ENSG00000127329,PTPRB,1.95466330359675,1.906852560037,1,chr12,70910630,71031220,chr12:71003873,6.90071,PTPRB & PTPRR
ENSG00000138829,FBN2,1.90015576007384,1,1,chr5,127593601,127994878,chr5:127933152,8.84442,FBN2
ENSG00000138829,FBN2,1.90015576007384,1,1,chr5,127593601,127994878,chr5:127692821,8.61444,FBN2
ENSG00000221866,PLXNA4,1.86957005735319,1,1,chr7,131808091,132333447,chr7:131853816,16.6348,LOC101928807 & PLXNA4
ENSG00000221866,PLXNA4,1.86957005735319,1,1,chr7,131808091,132333447,chr7:132017849,15.3642,LOC101928807 & PLXNA4
ENSG00000112303,VNN2,1.85682676506847,1,1,chr6,133065009,133084598,chr6:133073425,8.04853,RPS12 & SLC18B1 & SNORA33 & SNORD100 & SNORD101 & VNN1 & VNN2 & VNN3
ENSG00000002587,HS3ST1,1.73522750885589,1,1,chr4,11394774,11431389,chr4:11427832,6.38079,HS3ST1 & MIR572
ENSG00000151150,ANK3,1.71958244634465,1,1,chr10,61786056,62493248,chr10:61800053,6.59459,ANK3 & LINC01553
ENSG00000137757,CASP5,1.70587184537021,1.98783267393467,1,chr11,104864962,104893895,chr11:104891727,7.79295,CARD16 & CARD17 & CASP1 & CASP1P2 & CASP4 & CASP5
