ENSEMBL,logFC,P.Value,pi_value,sig95,sig90,sig85,sig80
ENSG00000169894,3.11166531287126,0.00836686078194221,6.46429007546726,5.16475618483574,3.76228694299496,2.78952487091739,2.0588022998088
ENSG00000270181,2.82075970957137,0.0118476077913105,5.43382499558182,Inf,Inf,6.3541482028534,4.63393203291452
ENSG00000259753,-3.11765998594385,0.0431571569892149,4.25544118271961,Inf,7.2090360642279,5.79777280787013,5.38125436570562
ENSG00000244693,-2.71517174401954,0.0366471369896637,3.89887787742359,2.91305912030805,2.34264390632571,2.39989002726195,1.23417481966242
ENSG00000248919,-2.5782083159694,0.0423624342449638,3.53992924166653,5.42364907876411,2.93264659166986,2.35583670263714,1.73877977426774
ENSG00000141448,2.32645892750469,0.0327643256952932,3.45385805197767,8.33382228911328,1.88358005744039,2.02803478720041,1.68947214440911
ENSG00000271741,-1.50669054866074,0.00679417729857312,3.26629887989407,1.11362905336651,0.846128958084574,0.676838511711196,0.632890583026479
ENSG00000261459,2.42803935753373,0.0625058738987224,2.92355161081365,Inf,Inf,Inf,Inf
ENSG00000179344,-2.79101718167956,0.0923457711237012,2.88753889488437,26.754685914513,10.0394943020372,9.38042438798762,5.72775443976257
ENSG00000285130,2.39061752531322,0.0688543927390768,2.77806095742011,9.09149731824521,4.5940595501291,3.25942639545293,3.15169801269077
ENSG00000259024,-2.27655032114411,0.0603579553496742,2.77571922130549,3.36585162255133,1.32246891871857,1.08540785340369,0.774399757215905
ENSG00000284194,2.45623366336553,0.079359705804367,2.70283940239664,3.31275716741377,2.88399998118895,1.56086639622762,1.02329361701001
ENSG00000182195,-1.57152071437331,0.0203602617455349,2.65778198718317,1.73094040402466,0.905745072941192,1.05245661822916,0.644960088211117
ENSG00000274049,-2.62873026143408,0.0988029233699794,2.6424790605509,Inf,8.72393636339313,Inf,3.65401342299666
ENSG00000256436,-1.14580444722439,0.00537432801207512,2.60060466062093,2.97965510379848,1.69639995799839,1.03384876240759,1.13288129906002
ENSG00000256977,-2.10521234529186,0.0620027730395792,2.54223103187167,3.87673104121659,2.24903659761833,1.87744056957774,1.20959992932753
ENSG00000148082,1.6574943590779,0.0296647919865958,2.53225141509231,1.87245254498154,1.19627431958489,1.10203634007788,0.692269845325227
ENSG00000250264,-1.66473437264923,0.0400992639697692,2.32540684694327,1.64398380399528,0.651496967207139,0.636584105569447,0.682827177148111
ENSG00000259040,2.79732824508832,0.148276920280955,2.31877935173215,Inf,Inf,Inf,1.44878366340726
