ENSEMBL,logFC,P.Value
ENSG00000101447,-1.78631508331521,0.00401261007150211
ENSG00000143195,-1.66323558083595,0.00346150598554731
ENSG00000277957,-2.34730221574445,0.027163941720398
ENSG00000100433,-1.84597395560009,0.0106840276168242
ENSG00000187510,-1.52849564035845,0.0070081936179024
ENSG00000197653,-1.62682886020237,0.0199181680067317
ENSG00000149418,-1.01765146436485,0.00392250449216975
ENSG00000260861,-1.65246743476482,0.0351086308895685
ENSG00000099958,-1.54330786945197,0.0287279228263833
ENSG00000127329,-1.31163222753732,0.0177048611409746
ENSG00000167601,-1.04639098173233,0.00668123681507664
ENSG00000284292,-2.22384638319637,0.0988919157539619
ENSG00000096060,-0.849231409233002,0.00332150776794879
ENSG00000174721,0.84229423369387,0.00402057065987506
ENSG00000282034,1.29833533502188,0.040022888367484
ENSG00000109272,-1.30043944666053,0.0409193016711186
ENSG00000005102,1.47075106951423,0.0616132257660486
ENSG00000173269,1.00864240687059,0.0203773713719569
ENSG00000175820,1.22023949704376,0.0473051226722006
ENSG00000051180,-1.29815822566758,0.069470128173937
ENSG00000119673,0.666829793607715,0.00585681604511439
ENSG00000101057,-1.15351018979782,0.0531990542143519
ENSG00000128656,1.0596865028735,0.0493429738453153
ENSG00000179094,-0.802103089167115,0.0202918429099878
ENSG00000284820,-1.07052965863077,0.056435618147063
ENSG00000182810,-0.454388825672658,0.00121396378773967
ENSG00000203965,0.559907392732632,0.00498134784494105
ENSG00000174672,0.657595261625791,0.019072682063609
ENSG00000230797,-0.909384795142328,0.0584277232521309
ENSG00000110090,-0.5744345578124,0.0123190534965732
ENSG00000116962,-0.894360615638813,0.0973574024016217
ENSG00000171503,-0.406312604306798,0.0075381010523663
ENSG00000100802,-0.433322860909866,0.0117783971368714
ENSG00000175556,0.507494805546636,0.0291372363886895
ENSG00000108106,-0.413213095169654,0.0591231915279834
