"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000220201","100125288","ZGLP1","protein_coding",1.34032973239851,-0.462092521331821,3.43005258553381,0.0011617260379451,0.999970294424419
"ENSG00000213214","445328","ARHGEF35","protein_coding",1.43536970310872,-0.205164404920598,3.31323722193571,0.00164827821206004,0.999970294424419
"ENSG00000188596","144535","CFAP54","protein_coding",-1.45513753489847,0.0369365158074885,-3.3109153362102,0.00165967061773912,0.999970294424419
"ENSG00000154263","10349","ABCA10","protein_coding",-0.990969433264225,-0.0358941921612549,-3.13673668820731,0.00276159371932561,0.999970294424419
"ENSG00000198746","63906","GPATCH3","protein_coding",0.504801656622285,2.92251425991758,2.9992610359189,0.00408309056236943,0.999970294424419
"ENSG00000204536","54535","CCHCR1","protein_coding",0.537343764534723,1.87596267088571,2.95446466226185,0.00462802258211341,0.999970294424419
"ENSG00000162174","80150","ASRGL1","protein_coding",0.839585638380872,2.03862109915877,2.95043746524176,0.0046801926579712,0.999970294424419
"ENSG00000171241","79801","SHCBP1","protein_coding",1.53870827807693,0.312211038177259,2.84558941575547,0.00624683326729952,0.999970294424419
"ENSG00000169105","113189","CHST14","protein_coding",-0.595192758313163,2.15990705902498,-2.82939430882423,0.00652821492485248,0.999970294424419
"ENSG00000196421","284739","C20orf204","protein_coding",0.844042592344932,0.87226343808078,2.81649638387937,0.00676064114905524,0.999970294424419
"ENSG00000147536","84296","GINS4","protein_coding",0.854064543048243,0.63154070681934,2.80312910719039,0.00700957195477345,0.999970294424419
"ENSG00000131043","25980","AAR2","protein_coding",0.353549412798763,3.73887208403339,2.80203631409373,0.00703029198659599,0.999970294424419
"ENSG00000178860","9242","MSC","protein_coding",1.74579460453624,0.702458659610887,2.7765982317712,0.00752887415199145,0.999970294424419
"ENSG00000139714","283385","MORN3","protein_coding",0.635414895789304,1.25974555199707,2.77441346247402,0.00757318044922293,0.999970294424419
"ENSG00000063127","28968","SLC6A16","protein_coding",-1.27442530630624,0.0566898507411416,-2.68718606830423,0.00955104707448132,0.999970294424419
"ENSG00000158286","388591","RNF207","protein_coding",1.03525734581704,0.250658814115211,2.66596460304902,0.0100990269541709,0.999970294424419
"ENSG00000105889","256227","STEAP1B","protein_coding",-1.24701949058576,-0.657331011152755,-2.66493263828575,0.0101263939826016,0.999970294424419
"ENSG00000158435","55571","CNOT11","protein_coding",-0.257535559185528,4.75398189582381,-2.65546556607642,0.0103806396524443,0.999970294424419
"ENSG00000083814","79891","ZNF671","protein_coding",0.578534473254142,3.55687744463768,2.6550895637679,0.0103908569989783,0.999970294424419
"ENSG00000006625","79017","GGCT","protein_coding",0.707339294409962,1.65196079491309,2.61130796433442,0.0116453865229451,0.999970294424419
"ENSG00000138180","55165","CEP55","protein_coding",1.93478863169266,-0.684811391201271,2.61002476641034,0.0116841567737021,0.999970294424419
"ENSG00000134061","4064","CD180","protein_coding",0.751168607521987,4.2372652989371,2.60410387447806,0.011864577926011,0.999970294424419
"ENSG00000264324",NA,NA,"protein_coding",2.74455657173,-1.45427104894001,2.60334834672671,0.0118877821009027,0.999970294424419
"ENSG00000049449","5954","RCN1","protein_coding",-0.734445082152175,2.82881737917145,-2.60234723029533,0.0119185926329835,0.999970294424419
"ENSG00000140743","1039","CDR2","protein_coding",0.528576400917294,3.47284576218187,2.59380914290546,0.0121843335999889,0.999970294424419
"ENSG00000164106","11341","SCRG1","protein_coding",-0.913380891828596,1.13380802157863,-2.58467699640208,0.012474526880909,0.999970294424419
"ENSG00000154274","55286","C4orf19","protein_coding",-1.12511458650532,0.339413503505322,-2.57182084437157,0.0128937236047692,0.999970294424419
"ENSG00000088881","57593","EBF4","protein_coding",-1.42005238381101,-0.284380576889261,-2.55652183789046,0.0134092417552827,0.999970294424419
