ENSEMBL,ENTREZID,SYMBOL,gene_type,logFC_C1,logFC_C5,logFC_C7,P.Value_C1,P.Value_C5,P.Value_C7,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7
ENSG00000267228,NA,NA,protein_coding,-2.68570065538862,2.52034159040355,1.41632270135226,0.0135453184153349,0.0925014232852294,0.130707877307848,5.01745491993746,2.6056591476797,1.25160187593196,16.3631642069699
ENSG00000125498,3802,KIR2DL1,protein_coding,2.34444525424386,0.764245320878941,1.46214500405662,0.00917050712274716,0.411605917011798,0.0156439858440625,4.7770572346985,0.294630626201486,2.6401259072495,12.6120325657412
ENSG00000281887,100527949,GIMAP1-GIMAP5,protein_coding,3.24008318530259,-2.30357334395062,-0.735000866197535,0.0448470561287051,0.0736996456575857,0.47683816972374,4.36849418981607,2.6088765161029,0.23639758453189,11.3968619025431
ENSG00000260238,100527963,PMF1-BGLAP,protein_coding,-2.0157543564127,1.94467186152596,0.155374351460254,0.0357669358682565,0.017849095009816,0.758311550689429,2.91582549229414,3.40003277652455,0.018668590154288,9.91390224442591
ENSG00000124507,29993,PACSIN1,protein_coding,1.98345833570392,-0.111720914262284,0.227639421520231,0.000206472745423054,0.824981690672729,0.472101103782163,7.30931623136275,0.00933491806837153,0.0742024804341449,7.30931623136275
ENSG00000285901,NA,NA,protein_coding,-0.12932921080822,-4.36865903571442,-0.219098716579694,0.934387065673214,0.0258868849782419,0.835071187462452,0.00381174336105067,6.93271329673994,0.0171502808108543,6.93271329673994
ENSG00000173366,NA,NA,protein_coding,-0.820162641684592,3.67278481724742,0.817580428467767,0.572832816109087,0.016616059870214,0.450887506950561,0.198456485264045,6.53561756670273,0.282827067483803,6.53561756670273
ENSG00000197467,1305,COL13A1,protein_coding,0.146109852410615,2.05106260117052,0.94842320340501,0.796793976779534,0.00666193824770389,0.0449345687444082,0.0144143151763038,4.46393140897856,1.27792384459708,5.70456438817951
ENSG00000240764,56097,PCDHGC5,protein_coding,-0.435047907309067,1.39289486163701,1.6582043053469,0.558186450861699,0.0691821598590057,0.00764902138681892,0.110163139784072,1.61576623457726,3.5094138495208,5.67039240121352
ENSG00000270181,NA,NA,protein_coding,-0.883202914086058,-2.75339946976864,-0.927045621281702,0.473572033183871,0.00877102374728729,0.375124517076214,0.286699989071756,5.66360424952946,0.394758785127414,5.66360424952946
ENSG00000240403,3812,KIR3DL2,protein_coding,2.28835760497593,-0.0254064423661471,0.617619976363489,0.00341161486808788,0.976184957243435,0.323790177443293,5.64546974936808,0.000265951818397527,0.302470940693493,5.64546974936808
ENSG00000262621,NA,NA,protein_coding,-2.24034740731346,1.70306949367783,-1.82098103114521,0.0887755316696323,0.154985647447875,0.115276658636662,2.35618841906722,1.3789898759571,1.70855114987223,5.5513560126712
ENSG00000259753,NA,NA,protein_coding,1.52865864944693,2.3579262721029,-2.39307276712986,0.370470205162697,0.136591911833975,0.0770924248079138,0.659229019624116,2.03860414501144,2.66346197683539,5.42974462605698
ENSG00000186081,3852,KRT5,protein_coding,1.97827761663568,-0.19796870446102,1.40696843237492,0.0622757177689719,0.815593338471611,0.0255666878121526,2.38517224595458,0.017525442874648,2.24035175699461,5.34362483195912
ENSG00000271793,NA,NA,protein_coding,1.13776019061695,-2.45570090567797,-0.00041473565783301,0.16943787609628,0.00896063731503937,0.999459420589805,0.877201161716608,5.0284432191251,9.73940889827921e-08,5.0284432191251
ENSG00000036448,9172,MYOM2,protein_coding,3.51662991686647,3.14664660459543,-0.19587484936838,0.186796481325933,0.237943711907901,0.839607501504334,2.56232665891933,1.96201523990286,0.0148715413132838,5.02732395440911
ENSG00000168209,54541,DDIT4,protein_coding,0.925009654965076,0.25859892776368,0.926851300154341,0.00881165952182719,0.463564635647945,0.00169055710687944,1.90084146060836,0.0863435191456369,2.56920414142663,4.88364975279045
ENSG00000182195,23641,LDOC1,protein_coding,1.47882433098131,1.42168508989968,0.0521993266429004,0.0300278175829062,0.0332411976999664,0.898817440389586,2.25147489390496,2.10171024586498,0.00241831698714619,4.73194785282783
ENSG00000172058,8293,SERF1A,protein_coding,0.993718049714593,-2.3536619192605,-1.0579026093181,0.269585011532915,0.00979181757639005,0.129155805517696,0.565727916455489,4.72882850871035,0.940354890337783,4.72882850871035
ENSG00000101447,81610,FAM83D,protein_coding,1.85810441596629,0.410813440168449,-0.376002621436304,0.00285141194902487,0.373770425629531,0.36754710584058,4.72876431701288,0.175579636922367,0.163443448739218,4.72876431701288
ENSG00000254692,NA,NA,protein_coding,1.20273566071279,-2.67536352645321,-0.639168351180941,0.403166664477656,0.0179308910701155,0.616959408420339,0.47449772149338,4.67224985370435,0.134061348608906,4.67224985370435
ENSG00000109321,374,AREG,protein_coding,2.07783902346524,0.699467216654148,1.50383517080412,0.0706383172797406,0.514599184663676,0.0524042389093049,2.39150888541064,0.201817909896488,1.92586182166192,4.60571565857761
ENSG00000283528,NA,NA,protein_coding,2.45780185705768,1.56314642945423,0.130227684934912,0.0134968306673608,0.351001327621675,0.889404333557731,4.59551975615496,0.710748989658692,0.00662868798174482,4.59551975615496
ENSG00000188223,NA,NA,protein_coding,-0.316040651926887,2.72249298948948,0.990605451935837,0.771785039325482,0.0209897615034852,0.25986209069889,0.0355557250787957,4.56832280696068,0.579758846101394,4.56832280696068
ENSG00000163491,152110,NEK10,protein_coding,-1.86137410077979,-0.105858315728782,0.0380575325615818,0.00356819173465457,0.826361824548363,0.930887949835465,4.55580956269244,0.00876821826493751,0.0011836878894416,4.55580956269244
