ENSEMBL,ENTREZID,SYMBOL,gene_type,logFC_C9,logFC_C12,logFC_C15,P.Value_C9,P.Value_C12,P.Value_C15,pi_value_C9,pi_value_C12,pi_value_C15,pi_value_C9_C12_C15
ENSG00000196826,NA,NA,protein_coding,-3.70418046819077,2.63259792735342,-0.893863132233044,0.0148876460920411,0.0117657363395441,0.475549567196924,6.76818210858002,5.07928412687936,0.288542781574309,34.3775199519394
ENSG00000284952,NA,NA,protein_coding,0.480499970056871,-1.96862715705277,-2.08865922540853,0.667823209799142,0.0343378764851776,0.00622101983722705,0.0842501398543017,2.88251618167172,4.60787135051586,13.2822637309235
ENSG00000139329,4060,LUM,protein_coding,0.779275726742598,1.78462753974769,2.43668545680323,0.356494632898766,0.0657636420491765,0.00334993995346035,0.349074227206713,2.10945499230111,6.03070629333965,12.7215034975871
ENSG00000173867,55070,DET1,protein_coding,-2.94161555041076,1.99522914909645,-1.03118999023194,0.0300106674884079,0.0389626973065514,0.362970899565898,4.47926961229414,2.81197816747442,0.453855786237814,12.5956083560027
ENSG00000220201,100125288,ZGLP1,protein_coding,1.34032973239851,-1.16703660770235,-0.0480926048714405,0.0011617260379451,0.00243226577993103,0.849571859394886,3.93372874106546,3.05062082050807,0.00340495071540865,12.0003147997253
ENSG00000264324,NA,NA,protein_coding,2.74455657173,-1.12874930164598,1.4707355009542,0.0118877821009027,0.309539693353168,0.0321032397557946,5.28299465043026,0.574853566510487,2.19647160727344,11.6039477510476
ENSG00000179344,3119,HLA-DQB1,protein_coding,3.2441212495298,0.707622281756176,2.90338532490676,0.0723578471932146,0.749102601826376,0.0967847384728083,3.69996687990318,0.0887773676751185,2.94459341871394,10.8948981240224
ENSG00000188596,144535,CFAP54,protein_coding,-1.45513753489847,0.338799900163616,-0.993431247501669,0.00165967061773912,0.306934723902971,0.00295425655381042,4.04525047156894,0.173788756033395,2.51293579269069,10.1654547004045
ENSG00000181625,79008,SLX1B,protein_coding,2.11362175320549,0.532161942329902,1.83071041371415,0.0202213685561397,0.607607685518329,0.0292191993482747,3.58087568668895,0.115147467012045,2.80891700038636,10.0583825926108
ENSG00000280987,9782,MATR3,protein_coding,-0.375388716254838,3.4402456200375,3.43780248327721,0.831099103009121,0.130181409723329,0.111898646281344,0.0301614271633534,3.04616902713361,3.26995235256592,9.96082757658897
ENSG00000120645,440073,IQSEC3,protein_coding,0.154201147863183,1.74313483321618,1.82806251093212,0.833152854544652,0.0320914976856269,0.00922922396334597,0.0122243443180527,2.60356364306325,3.71980524117891,9.68474968520952
ENSG00000261459,NA,NA,protein_coding,-0.0253409771088533,-2.27665442650833,-2.14011198553458,0.986402172271131,0.0599260870493606,0.0247353555745972,0.000150676943090009,2.78294612478668,3.43847906744148,9.5691019958964
ENSG00000267645,246721,POLR2J2,protein_coding,-2.7729517600525,2.62488603482846,0.319965086874561,0.0900246319209758,0.0634052495825724,0.826538314080811,2.89950552277939,3.14428479093226,0.0264729545793345,9.11687111649932
ENSG00000178860,9242,MSC,protein_coding,1.74579460453624,-1.413713132224,0.00312330828513274,0.00752887415199145,0.0224632010368879,0.993665868185585,3.7067932439772,2.33054618587157,8.61916797604103e-06,8.63885285656558
