ENSEMBL,logFC,P.Value,pi_value,sig95,sig90,sig85,sig80
ENSG00000277957,2.65522544801584,0.00946208283812215,5.3742114994963,8.28744781968491,3.26630240393823,1.13225983519571,1.00561481619764
ENSG00000196826,2.63259792735342,0.0117657363395441,5.07928412687936,7.62339104663562,7.39506535967839,3.70525381358282,2.26632545369691
ENSG00000140488,-1.75761864481284,0.0071256054989205,3.77392048294813,1.58781468679228,0.935648714035481,0.889785673646131,0.637250746273178
ENSG00000143921,1.28203220794635,0.00278862720783964,3.27509170857096,1.30135129250603,1.12085230596842,0.840470326756473,0.685388838777209
ENSG00000196993,1.9111090254153,0.0216675049346439,3.18045062330644,1.07933841633937,1.13220963428227,0.583153952428108,0.612679498541437
ENSG00000267645,2.62488603482846,0.0634052495825724,3.14428479093226,1.51719157035812,1.39556966130467,0.836531231641553,0.68400806656162
ENSG00000259171,2.20627003925389,0.0377581164301935,3.13949949424977,6.11109429525413,2.37353557676694,1.77308760440789,1.6266162799179
ENSG00000220201,-1.16703660770235,0.00243226577993103,3.05062082050807,2.47244207443047,1.75874854093619,0.797061018226563,0.795843513890882
ENSG00000280987,3.4402456200375,0.130181409723329,3.04616902713361,Inf,14.0686708326673,6.99025008027561,7.85589421578045
ENSG00000284194,-2.68477026805038,0.0781159287370171,2.97273979942955,2.00017267959534,1.31240522388841,1.11628785822452,0.627604510740174
ENSG00000036448,-3.87523713385182,0.173999202683057,2.94305946635699,9.25793202017858,6.36801699392269,2.41038053755023,2.69299105507546
ENSG00000284952,-1.96862715705277,0.0343378764851776,2.88251618167172,1.27588562392024,0.924841803699519,0.39920133981057,0.764475977273132
ENSG00000173867,1.99522914909645,0.0389626973065514,2.81197816747442,5.93411301789051,2.42717104964211,1.68810328978737,1.06845180431416
ENSG00000261459,-2.27665442650833,0.0599260870493606,2.78294612478668,Inf,Inf,Inf,1.77116140327483
ENSG00000255073,-2.51131586314012,0.0827092124367478,2.7183640984365,Inf,Inf,8.2902523359621,3.5651514694594
ENSG00000120645,1.74313483321618,0.0320914976856269,2.60356364306325,6.23407543670249,4.26466964852506,2.14631671607202,1.44122362890418
ENSG00000226174,-1.23076738838744,0.0104671634945279,2.43712988063782,1.74923312646936,0.994075306316947,0.583435977366659,0.61077051399488
ENSG00000176720,-2.12016085371157,0.0721275534121977,2.42100913244785,4.19781555958707,2.5390011413578,0.953834360917318,1.99674260921568
ENSG00000112414,1.3769751238768,0.0178304290602655,2.40810670549713,2.23723997564921,1.57381142643398,1.01487660954641,0.486723531475722
ENSG00000137878,1.40446285007112,0.0205873107638689,2.36848668375733,1.38273924990726,1.3171996887114,0.728866595860036,0.543018332518029
ENSG00000178860,-1.413713132224,0.0224632010368879,2.33054618587157,1.99091471883062,1.48526565252447,0.752373596275721,0.859938373283268
ENSG00000134184,2.87036780159345,0.180329817730533,2.1353597690587,Inf,13.011380734197,9.86721536280984,11.3602012768782
ENSG00000146250,-1.86769433177881,0.0726325042695131,2.12705914175994,6.24864592912197,3.07370873486344,1.40429658123625,1.43639811884266
ENSG00000139329,1.78462753974769,0.0657636420491765,2.10945499230111,Inf,9.47165198698169,6.85465164609411,5.02919289596321
ENSG00000283528,1.8067412099762,0.0681228766429546,2.10793765526607,1.27369596630059,1.20976277731024,0.909095605840069,0.793983692073198
ENSG00000186281,-1.33736121197134,0.0271546176428117,2.09451669822647,2.47997753735417,1.33725010788001,0.871877435148689,1.11912838426864
ENSG00000242689,0.805352943092345,0.00295613774566677,2.0369593334865,0.948322654542101,0.89841849484909,0.501990826612249,0.367971714925031
ENSG00000255330,-1.57929829390696,0.0552216587026821,1.98658440351816,2.22486690448676,1.86726535076929,1.12476691629552,0.593971766687091
ENSG00000188394,-1.71860959088311,0.0715096617723264,1.96889977313896,1.64348215818834,1.90022517923375,1.07048357218987,0.689717914761564
ENSG00000100197,1.17156050148056,0.0213182096800376,1.95796963345202,2.73966738649307,1.55516540331889,1.04952265379822,0.61665669476257
ENSG00000240563,-1.52210348780603,0.051730431829976,1.95781154163599,2.81416245571878,2.06411156808457,1.67720595977931,0.775063673842864
ENSG00000267426,1.83270827830125,0.0865215944339769,1.9479407018308,Inf,6.61936631483421,6.1125830644787,3.69849468345018
ENSG00000282034,-1.29245318890869,0.0340266688021758,1.89755465453202,0.963921642618683,0.681171944887606,0.52396530158184,0.426616624657738
ENSG00000183605,0.724437958165054,0.0027162772172783,1.85892657010737,0.814904824338718,0.562240198730069,0.355317365814343,0.268658707854697
ENSG00000183054,-1.60811393722956,0.0725662803111242,1.83206814650827,2.27525554695399,2.02852929085919,1.84693368046087,0.943636109179622
ENSG00000113389,1.47689008117435,0.0579771837119409,1.82653329933265,3.28625604649202,1.45429592591241,1.40633043531616,1.09456805073378
ENSG00000149054,1.43966385498668,0.0605279789329219,1.75357367182353,3.67488717836883,1.25096313447487,1.281936596413,0.772908952265633
ENSG00000256500,-1.77520628754261,0.103885572207797,1.74581732807376,Inf,Inf,Inf,Inf
ENSG00000162526,-1.43632733385646,0.0625590142579029,1.72892172307923,1.59148440317591,1.24048891214796,1.14328037925426,0.695427906981509
ENSG00000118257,-1.1522748538298,0.0317171383543142,1.7269212409474,2.27682992843953,1.86396144749638,1.48531248553673,0.500818889428644
ENSG00000273217,-3.05857596205467,0.272639203804998,1.72629604361814,Inf,Inf,41.0519609052349,27.5646655908451
ENSG00000255152,-1.34652172234386,0.0537345561685675,1.70974102048338,2.51240145243666,2.0262797632625,1.00658437991685,0.770864701877771
ENSG00000186792,0.916909809106993,0.0146150085243209,1.68271373164922,1.15150861847673,0.977105350487249,0.773272785254446,0.554332357789909
ENSG00000274933,1.75553174235621,0.111151250076672,1.67492764102519,Inf,Inf,7.27765023577286,Inf
ENSG00000187066,0.799269556243835,0.00820138031215378,1.66736665067092,1.31213652651815,0.846411054758262,0.64061116992848,0.588673410163216
ENSG00000281991,1.36816330857428,0.0639025439463635,1.63424624311393,2.33484712299368,2.24255783926688,1.15390921127836,0.850784787884803
ENSG00000258677,-1.81079866467462,0.126139668799131,1.62817656570955,Inf,Inf,4.24634223554838,2.34158552764469
ENSG00000171570,1.51120750175516,0.0842215680463417,1.6239083356423,2.49379581847513,2.12966385417206,1.16435078081553,0.936848701529918
ENSG00000182489,1.11686392669411,0.0372713347225199,1.59557978810061,1.21702573852234,1.02783481686954,0.56386133949189,0.608639521769591
ENSG00000128656,-1.08221539804503,0.036541235871653,1.55537811702222,1.15395503170382,0.807281492812233,0.549256597886853,0.299476809134236
ENSG00000156206,1.19634421167762,0.0526176911126953,1.52996658395843,1.49268754651027,0.92697366169905,0.827608711597017,0.710532577112374
ENSG00000169607,0.899970224159927,0.0212200884460017,1.50587770674188,1.78928926130482,1.00492460378795,0.612521878476643,0.70456497956582
ENSG00000164542,1.02622350080809,0.0342576061717725,1.50366678829603,1.43688313027781,1.05659917194932,0.724634672409562,0.613844350611649
ENSG00000273079,-1.68542604173733,0.131621908739022,1.48430721205098,Inf,Inf,6.33578663493708,2.61500129451897
ENSG00000106624,1.08336106620019,0.0429786386151285,1.48068086120143,1.99620638620851,1.35532416278185,1.14384942379618,0.638237675651634
ENSG00000215784,1.25577854953311,0.0690688218730555,1.4576047059507,1.54300633176093,1.42697247710711,0.46994314835948,0.702514233803593
ENSG00000175820,-1.14756799304292,0.0536995394473643,1.4574451344178,1.38253365938843,0.728514338460271,0.83841833980409,0.402115931155871
ENSG00000116299,-1.26110414796797,0.072665582578354,1.43598302425015,2.66635098072478,1.66335818618172,1.19931706545943,0.784527642024687
ENSG00000088881,0.980037815101668,0.0346289055928671,1.43140524021549,1.73978678415387,0.916691751394411,0.579777006953003,0.61524557677139
