ENSEMBL,logFC,P.Value
ENSG00000267228,-4.50562351932145,0.00124233481111889
ENSG00000254692,3.77582526057945,0.00215308992819916
ENSG00000281887,3.43031673397649,0.0324049259867673
ENSG00000105971,1.9523168814743,0.00302376000469492
ENSG00000256436,-1.41541879557029,0.000344049322129315
ENSG00000019144,1.84262342633222,0.00289420220526717
ENSG00000101447,1.75205311570942,0.00468954236959137
ENSG00000164309,-1.58799224645763,0.00368161275858166
ENSG00000173421,-1.82168105362402,0.00810019521358732
ENSG00000172058,2.04285834473656,0.013982788815501
ENSG00000143195,1.60825068250823,0.00457194492945316
ENSG00000228253,-1.62101850073905,0.00519238289851527
ENSG00000111057,1.57547087966759,0.00474491643196812
ENSG00000148344,2.02763913259235,0.0162291292321907
ENSG00000079156,2.02076686591687,0.017488987423139
ENSG00000271741,-1.51736199551083,0.00461450529582427
ENSG00000176890,1.60724181650038,0.00657629762958803
ENSG00000181143,2.12031104171443,0.0225870232578289
ENSG00000048462,1.95601594971279,0.0189094290330297
ENSG00000285708,-1.681779413912,0.0100829808172533
ENSG00000134057,1.30516694946176,0.00281938377696382
ENSG00000169894,2.08892504710975,0.0262479592260164
ENSG00000197467,-1.81138783638182,0.0162237788018917
ENSG00000263201,1.74769643365472,0.0146838582269586
ENSG00000283515,-2.40945924165849,0.0476010939552481
ENSG00000242852,2.0827121750941,0.0307510072993985
ENSG00000284989,2.55524116097287,0.0590489245908567
ENSG00000197915,-1.43975950626412,0.00670381666976647
ENSG00000197409,1.66630180090343,0.0138902807365508
ENSG00000139329,2.08746759896824,0.0341363762413698
ENSG00000284461,2.37133142982109,0.0538857401330476
ENSG00000102383,-1.45031498445907,0.00904030087652049
ENSG00000100433,1.69822922386349,0.0180004627707352
ENSG00000166803,1.56261700978169,0.0132133155177456
ENSG00000274349,1.24567687483229,0.00505644579372862
ENSG00000256060,1.2283927780456,0.00592561082488931
ENSG00000178718,1.00713779892285,0.00203607162271965
ENSG00000132517,1.49942563872952,0.0167231309849201
ENSG00000042832,-1.11983577231458,0.00423180896289931
ENSG00000213648,1.28439722314319,0.00880731076585259
ENSG00000135423,1.40377768868927,0.0154908238942513
ENSG00000024526,1.74832301155909,0.0353437312047563
ENSG00000129048,-1.3399358199568,0.0142503751420754
ENSG00000262209,1.39269200725968,0.0169974947009387
ENSG00000075702,0.963789512170671,0.0027885906459277
ENSG00000167601,1.05672393353501,0.00534413581112621
ENSG00000093009,1.59811650694825,0.0319475040956212
ENSG00000228570,-1.56829449257887,0.0302363926785582
ENSG00000132465,1.64170677950085,0.036030488283729
ENSG00000099958,1.5304237509186,0.0289598538951254
ENSG00000134013,-1.02695584997099,0.0057713949054982
ENSG00000072571,1.3271628709481,0.018724675185044
ENSG00000178445,1.94615978470037,0.0664579400436457
ENSG00000169679,1.14813641962894,0.0103925328660785
ENSG00000150967,1.30673831124963,0.0185351568968624
ENSG00000167861,1.28747851276758,0.0193632310661736
ENSG00000118690,-0.777344720117359,0.00154263544318742
ENSG00000162692,1.76311730222178,0.0595637175046848
ENSG00000156510,1.5055637033751,0.0374542185698701
ENSG00000134138,1.65227314134439,0.0514076408678741
ENSG00000129422,1.4870223667638,0.0382414853588822
ENSG00000142627,1.35506190367387,0.031079066367362
ENSG00000174607,1.13254250944508,0.0164289722728239
ENSG00000168268,1.23525303595877,0.0257286509830896
ENSG00000137563,1.19214196386672,0.0225806336530193
ENSG00000133121,1.39505980463019,0.0398228603922667
ENSG00000163687,1.38119152692788,0.0387287589718465
ENSG00000188996,-1.29202679660471,0.0311872827690254
ENSG00000088325,1.0903875400185,0.0165809159405435
ENSG00000271793,1.5422104679377,0.0551155399366235
ENSG00000077152,1.32426166137867,0.0359131495453996
ENSG00000186310,1.16607657632401,0.0231719766658549
ENSG00000059915,0.944544177572207,0.00960469467788639
ENSG00000204086,-0.927267135459151,0.00893977973049508
ENSG00000043591,1.53749233618178,0.0605380470363559
ENSG00000142494,1.44443270266833,0.0507617578019694
ENSG00000137936,1.07256464788988,0.0181227541720204
ENSG00000156097,0.935557394225578,0.0107432715609481
ENSG00000174371,1.19275204907394,0.0286331376714077
ENSG00000164087,1.12607323562733,0.0232851293976929
ENSG00000183010,1.55527864680518,0.0664580997693486
ENSG00000146122,1.95798182238358,0.116206176830815
ENSG00000134532,1.23079601614005,0.0357192326656094
ENSG00000175899,-1.4475897945653,0.0590453786901642
ENSG00000204764,1.04144366205779,0.02042547417741
ENSG00000273703,1.1601870520839,0.0304845314243112
ENSG00000112742,1.10401442005178,0.0256623486137248
ENSG00000258102,-1.28882453336862,0.0434327296770817
ENSG00000284922,1.52513015907475,0.0709200272476518
ENSG00000172209,-0.841362781184866,0.00872433301215099
